Date,Open,High,Low,Close,Volume,OpenInterest
2016-09-19,83.77,83.9,82.48,82.79,2009550,0.0
2016-09-20,83.17,83.67,82.64,83.38,1441325,0.0
2016-09-21,84.3,84.53,83.71,84.4,1498491,0.0
2016-09-22,84.03,85,83.53,83.89,2285052,0.0
2016-09-25,83.05,83.74,82.4,82.53,2293756,0.0
2016-09-26,82.23,83.2,81.74,82.43,2972249,0.0
2016-09-27,82.54,83.4,81.81,82.24,2097336,0.0
2016-09-28,82.11,98.09,81.5,96.18,22674142,0.0
2016-09-29,99.7,104.64,99.7,102.01,20097643,0.0
2016-10-02,103.04,105,101.98,102.76,5856698,0.0
2016-10-03,102.6,104.95,102.5,103.23,4834500,0.0
2016-10-04,103.19,104.31,102.36,102.5,3996935,0.0
2016-10-05,102.5,105.29,100.82,103.49,9860122,0.0
2016-10-06,103.82,103.92,102.09,102.99,4155510,0.0
2016-10-09,102.36,103.71,102.05,102.84,2658041,0.0
2016-10-10,102.77,102.77,100.69,101.93,3619826,0.0
2016-10-11,101.57,103.2,100.75,102.74,2351644,0.0
2016-10-12,101.87,102,100.3,101.84,2736285,0.0
2016-10-13,102.36,103.09,101.13,101.4,1658027,0.0
2016-10-16,100.874,101.935,100.6,100.88,1538492,0.0
2016-10-17,101.65,102.23,101.25,101.65,909528,0.0
2016-10-18,101.2,101.65,100.88,101.03,1490083,0.0
2016-10-19,100.48,107.5399,99.39,104.477,7047478,0.0
2016-10-20,105.39,105.56,100.8,101.71,13238141,0.0
2016-10-23,101.62,102,100.51,101.84,2793551,0.0
2016-10-24,101.65,101.65,100.5,100.64,3380038,0.0
2016-10-25,100.41,101.15,97.87,98.63,5716544,0.0
2016-10-26,100.27,100.6999,98.74,99.0999,29121747,0.0
2016-10-27,99.75,100.26,99.2,99.84,13041271,0.0
2016-10-30,99.81,100.3,99.72,100,7078867,0.0
2016-10-31,100,100.05,99.33,99.55,6291958,0.0
2016-11-01,99.51,99.67,99,99.04,4581446,0.0
2016-11-02,99.25,99.6,98.69,98.7,4511984,0.0
2016-11-03,98.72,99.245,98.32,98.7,2903016,0.0
2016-11-06,99.11,99.34,98.65,98.72,5384762,0.0
2016-11-07,98.75,99.43,98.55,99.01,4228633,0.0
2016-11-08,98.7,98.76,97.01,97.28,7333523,0.0
2016-11-09,97.41,97.56,95.88,96.61,7647471,0.0
2016-11-10,96.5,98.05,96.5,97.73,3170753,0.0
2016-11-13,98,98,96.61,96.73,4144809,0.0
2016-11-14,96.63,98.04,96.33,97.8,2998810,0.0
2016-11-15,97.82,98.69,97.68,97.83,1995394,0.0
2016-11-16,98,98.57,97.65,98.06,1967220,0.0
2016-11-17,98.51,99.05,98.35,98.88,2030143,0.0
2016-11-20,99.28,99.43,98.31,98.59,2459721,0.0
2016-11-21,98.95,99.25,98.34,98.84,1618851,0.0
2016-11-22,98.6,99.52,98.5,99.33,1747207,0.0
2016-11-24,99.4,99.59,99.14,99.51,1332574,0.0
2016-11-27,99.97,100,98.96,99.06,4281380,0.0
2016-11-28,99,99.45,98.57,98.85,2488993,0.0
2016-11-29,98.92,99.35,98.83,99.15,3505935,0.0
2016-11-30,99.02,99.4,97.75,97.91,4742958,0.0
2016-12-01,98,98.55,97.75,97.97,2679064,0.0
2016-12-04,98.24,98.34,97.65,97.8,2484865,0.0
2016-12-05,97.56,98.2,97.52,97.82,1921605,0.0
2016-12-06,98,98.45,97.57,98.35,2003890,0.0
2016-12-07,98.65,98.99,98.12,98.15,1766924,0.0
2016-12-08,98.45,98.575,98,98.33,1713595,0.0
2016-12-11,98.29,98.5,98.06,98.14,1635490,0.0
2016-12-12,98.35,98.62,98.08,98.2,2876395,0.0
2016-12-13,98.2,98.39,97.8,97.83,3018933,0.0
2016-12-14,97.75,98.29,97.695,97.78,3772826,0.0
2016-12-15,97.82,97.9,97.01,97.2,4041666,0.0
2016-12-18,97.29,97.52,97.04,97.13,2125567,0.0
2016-12-19,97.31,97.77,96.85,97.09,2408445,0.0
2016-12-20,97,97.75,96.95,97.7,1507455,0.0
2016-12-21,97.6,97.91,97.39,97.88,1441139,0.0
2016-12-22,97.9,98.5,97.8,98.21,901589,0.0
2016-12-26,98.4,99.21,98.3898,98.99,1263123,0.0
2016-12-27,99.11,99.18,98.36,98.39,2085899,0.0
2016-12-28,98.4,98.64,98.01,98.1,1582301,0.0
2016-12-29,98.16,98.44,97.68,98.03,1906848,0.0
2017-01-02,98.25,98.25,97.55,97.57,2103330,0.0
2017-01-03,97.58,98.36,97.58,98.3,3469492,0.0
2017-01-04,98.48,98.79,98.18,98.4,1745060,0.0
2017-01-05,98.7,98.7225,97.99,98.21,2240059,0.0
2017-01-08,98.25,98.47,97.97,98.11,1863188,0.0
2017-01-09,98.54,98.79,98.26,98.63,2138458,0.0
2017-01-10,98.49,98.61,98.28,98.48,1492938,0.0
2017-01-11,98.65,98.65,98.26,98.3,1294132,0.0
2017-01-12,98.12,98.62,97.97,98.38,1810165,0.0
2017-01-16,98.5,98.62,97.61,97.62,4598209,0.0
2017-01-17,98.09,98.34,97.86,97.98,1542764,0.0
2017-01-18,97.86,98.26,97.81,98.05,2149453,0.0
2017-01-19,98.2,98.305,97.68,97.8,2422037,0.0
2017-01-22,97.5,97.7,96,96,8414847,0.0
2017-01-23,96.23,97.32,96.06,96.7,3791067,0.0
2017-01-24,96.83,97.81,96.83,97.5,3532549,0.0
2017-01-25,97.43,97.62,97.11,97.27,2769917,0.0
2017-01-26,97.4,97.99,97.3,97.87,2235291,0.0
2017-01-29,98.05,98.2,97.25,97.99,2717116,0.0
2017-01-30,97.75,98.17,97.455,97.86,2436109,0.0
2017-01-31,98.39,98.58,97.75,97.81,4136983,0.0
2017-02-01,98.1,99.34,98.1,99.01,3023884,0.0
2017-02-02,99,99.5,98.9,99.46,1604039,0.0
2017-02-05,99.85,101.25,99.76,100.06,5225002,0.0
2017-02-06,100.65,101.28,100.44,101.27,2346335,0.0
2017-02-07,101.47,102.155,101.04,102.08,2927428,0.0
2017-02-08,102,102.17,101.551,101.67,1737251,0.0
2017-02-09,101.76,102.31,101.75,101.99,1916874,0.0
2017-02-12,102.1,102.49,101.85,102.25,1275012,0.0
2017-02-13,102,102.49,101.91,102.25,1833314,0.0
2017-02-14,102.25,102.74,102.25,102.57,1467528,0.0
2017-02-15,102.65,102.74,102.41,102.45,864013,0.0
2017-02-16,102.43,102.78,102.18,102.4,839752,0.0
2017-02-20,102.21,102.75,102.21,102.6,1347125,0.0
2017-02-21,102.6,102.89,102.4,102.65,1460441,0.0
2017-02-22,102.65,102.89,102.46,102.6,1014946,0.0
2017-02-23,102.2,102.86,102.19,102.84,2008458,0.0
2017-02-26,102.58,102.89,102.57,102.81,768855,0.0
2017-02-27,102.65,103.18,102.3,102.92,1224251,0.0
2017-02-28,103.2,103.44,102.96,103.2,1580748,0.0
2017-03-01,103.12,103.79,103.05,103.61,3958814,0.0
2017-03-02,103.72,103.94,103.44,103.85,1159817,0.0
2017-03-05,103.55,104.1,103.3,103.89,1396521,0.0
2017-03-06,103.86,104.11,103.56,103.72,2487950,0.0
2017-03-07,103.68,104.03,103.65,103.88,1348221,0.0
2017-03-08,103.76,104.02,103.75,103.9,2801643,0.0
2017-03-09,104.1,104.23,103.9,104.22,2821182,0.0
2017-03-12,104.1,104.45,103.8,103.99,3108912,0.0
2017-03-13,103.9,103.98,103.71,103.8,1427852,0.0
2017-03-14,103.8,103.97,103.72,103.82,2393894,0.0
2017-03-15,103.78,103.97,103.28,103.4,3548739,0.0
2017-03-16,103.2,103.38,102.91,103.3,2460023,0.0
2017-03-19,103.25,103.495,103.155,103.33,952286,0.0
2017-03-20,103.2,103.51,102.65,102.94,2853097,0.0
2017-03-21,102.83,102.99,102.6,102.73,1762144,0.0
2017-03-22,102.74,102.975,102.62,102.7,1472508,0.0
2017-03-23,102.81,103.16,102.6,103,1897137,0.0
2017-03-26,102.92,103.36,102.7,103.22,1040476,0.0
2017-03-27,103.07,103.5302,102.97,103.2,1048608,0.0
2017-03-28,103.16,103.67,103.15,103.62,1172269,0.0
2017-03-29,103.33,104.29,103.14,103.77,1495813,0.0
2017-03-30,103.94,104,103.38,103.5,2744634,0.0
2017-04-02,103.68,104.42,103.5,104.34,2578355,0.0
2017-04-03,104.75,105.26,104.345,105.05,6469336,0.0
2017-04-04,105.48,105.48,104.61,104.8,3749947,0.0
2017-04-05,104.95,105,104.34,104.4,3341864,0.0
2017-04-06,104.5,104.8,104.45,104.55,3506960,0.0
2017-04-09,104.5,104.68,104.17,104.18,1878628,0.0
2017-04-10,104.05,104.44,103.87,103.97,1948632,0.0
2017-04-11,103.92,103.99,103.66,103.7,2754982,0.0
2017-04-12,103.72,103.9,103.19,103.23,2526082,0.0
2017-04-16,103.5,103.69,103.19,103.21,1707793,0.0
2017-04-17,103.2,103.585,103.16,103.36,1197356,0.0
2017-04-18,103.5,104.42,103.39,104.23,2934452,0.0
2017-04-19,104.45,104.505,103.9,104.42,2494659,0.0
2017-04-20,104.45,104.45,104.11,104.36,1600052,0.0
2017-04-23,104.5,104.91,104.41,104.77,1492249,0.0
2017-04-24,104.86,105.28,104.8,105.21,1989895,0.0
2017-04-25,105.11,105.6,105.11,105.48,2653616,0.0
2017-04-26,105.5,105.58,105.3,105.45,1765782,0.0
2017-04-27,105.4,105.8,105.3,105.75,1600586,0.0
2017-04-30,105.9,106.155,105.6,105.96,1819204,0.0
2017-05-01,106,106.19,105.67,105.77,2094902,0.0
2017-05-02,106,106.1,105.6,105.75,1012835,0.0
2017-05-03,105.76,106.97,105.73,106.7503,4147283,0.0
2017-05-04,106.79,106.96,106.38,106.6,2311630,0.0
2017-05-07,106.53,106.9695,106.45,106.89,2534281,0.0
2017-05-08,106.93,107.02,106.65,106.77,1961485,0.0
2017-05-09,106.72,106.89,106.58,106.68,3034257,0.0
2017-05-10,106.55,106.94,106.4,106.84,2453256,0.0
2017-05-11,106.77,106.91,106.5,106.87,2598510,0.0
2017-05-14,106.78,107.2,106.67,107.06,1757246,0.0
2017-05-15,106.97,107.755,106.93,107.7,3958157,0.0
2017-05-16,107.26,107.83,107.25,107.39,4967448,0.0
2017-05-17,107.28,107.5,107.14,107.27,2950735,0.0
2017-05-18,107.45,107.825,107.45,107.75,2437435,0.0
2017-05-21,107.87,108.24,107.75,108.17,2968146,0.0
2017-05-22,107.96,108.2,107.96,108.1,2762605,0.0
2017-05-23,108.11,108.29,107.845,108,3123695,0.0
2017-05-24,108,108.15,107.8,107.95,2765930,0.0
2017-05-25,107.89,108.24,107.89,108.02,2294568,0.0
2017-05-29,107.91,108.21,107.91,108.13,1911015,0.0
2017-05-30,109.05,109.83,108.98,109.78,7470331,0.0
2017-05-31,109.645,109.71,109,109.31,7039197,0.0
2017-06-01,109.2,109.35,108.86,109.15,3530363,0.0
2017-06-04,109,109.32,109,109.2,2199731,0.0
2017-06-05,109.22,109.35,108.845,108.85,2487176,0.0
2017-06-06,108.85,109.32,108.81,109.21,2692151,0.0
2017-06-07,109.07,109.4,108.92,109.23,1853205,0.0
2017-06-08,109.23,109.5,108.17,108.58,3872688,0.0
2017-06-11,108.91,108.91,108,108.22,2560036,0.0
2017-06-12,108.45,109.11,108.32,109.11,1725659,0.0
2017-06-13,108.96,109.415,108.65,109.26,2288089,0.0
2017-06-14,108.78,109.11,108.75,109,1128519,0.0
2017-06-15,109,109.4,108.845,109.06,1029694,0.0
2017-06-18,109,109.285,108.9,109.15,1172840,0.0
2017-06-19,109.05,109.86,108.97,109,2812362,0.0
2017-06-20,109.02,109.215,108.88,109.15,2594284,0.0
2017-06-21,109.15,109.5,108.99,109.49,2797506,0.0
2017-06-22,109.5,109.9,109.47,109.84,9978690,0.0
2017-06-25,109.75,109.92,109.45,109.75,2224712,0.0
2017-06-26,109.67,109.79,109.42,109.52,2535141,0.0
2017-06-27,109.88,109.95,109.57,109.87,1846741,0.0
2017-06-28,109.77,109.8,109.03,109.34,4614053,0.0
2017-06-29,109.33,109.51,109.14,109.38,2411316,0.0
2017-07-02,109.5,109.5,109.1,109.26,1043754,0.0
2017-07-04,109.27,109.365,109.035,109.185,2036387,0.0
2017-07-05,109.11,109.3,109.05,109.26,1272473,0.0
2017-07-06,109.27,109.38,109,109.13,3328132,0.0
2017-07-09,109.05,109.46,109.05,109.35,1133829,0.0
2017-07-10,109.25,109.25,109,109.22,1667082,0.0
2017-07-11,109.2,109.37,109.06,109.16,2606124,0.0
2017-07-12,109.15,109.5,109.08,109.23,2044945,0.0
2017-07-13,109.2,109.48,109.16,109.4,1481937,0.0
2017-07-16,109.4,109.6186,109.37,109.48,1948025,0.0
2017-07-17,109.45,109.64,109.37,109.47,1372411,0.0
2017-07-18,109.45,109.65,109.41,109.6,1179982,0.0
2017-07-19,109.5,109.81,109.41,109.73,1373486,0.0
2017-07-20,109.6,109.8901,109.55,109.87,1224459,0.0
2017-07-23,109.83,109.84,109.55,109.55,1448308,0.0
2017-07-24,109.56,109.93,109.55,109.71,2172477,0.0
2017-07-25,109.75,109.95,109.75,109.92,2089571,0.0
2017-07-26,109.85,110.43,109.84,110.29,2246455,0.0
2017-07-27,110.26,110.4,110.05,110.205,1586498,0.0
2017-07-30,110.25,110.39,110.08,110.31,1925373,0.0
2017-07-31,110.3,111.2,110.2,111.18,2959598,0.0
2017-08-01,111.08,111.22,110.85,110.9,3187990,0.0
2017-08-02,110.52,111.055,110.43,110.7,1597540,0.0
2017-08-03,112.03,112.79,111.75,112.43,4796846,0.0
2017-08-06,112.65,113.2,112.42,112.965,2119998,0.0
2017-08-07,113.02,113.39,112.82,112.98,1413592,0.0
2017-08-08,112.6,113.1,112.565,113.08,926219,0.0
2017-08-09,112.85,112.85,112.08,112.12,2008835,0.0
2017-08-10,111.57,112.28,111.57,112.23,1835643,0.0
2017-08-13,112.5,112.8,112.33,112.53,822964,0.0
2017-08-14,112.65,112.83,112.51,112.82,718126,0.0
2017-08-15,112.81,112.85,112.55,112.79,370037,0.0
2017-08-16,112.79,112.85,112.335,112.48,1033399,0.0
2017-08-17,112.7,112.7,112.39,112.455,590088,0.0
2017-08-20,112.59,112.68,112.18,112.355,747406,0.0
2017-08-21,112.45,112.74,112.34,112.36,426098,0.0
2017-08-22,112.51,112.51,112.3,112.3,790228,0.0
2017-08-23,112.38,112.48,111.94,112.08,996270,0.0
2017-08-24,112.1,112.35,111.9,112.23,944960,0.0
2017-08-27,112.16,112.735,112,112.6188,1131872,0.0
2017-08-28,112.25,112.6,112.25,112.36,1031275,0.0
2017-08-29,112.31,112.58,112.29,112.42,791626,0.0
2017-08-30,112.43,113.06,112.37,113,1880078,0.0
2017-08-31,112.8,113.19,112.8,112.91,1070082,0.0
2017-09-04,112.56,112.85,112.29,112.43,1393820,0.0
2017-09-05,112.57,112.57,111.75,112.18,2106082,0.0
2017-09-06,112.23,112.75,112.14,112.6,778467,0.0
2017-09-07,112.4,112.48,112.16,112.3,524183,0.0
2017-09-10,112.5,112.7,112.26,112.59,483323,0.0
2017-09-11,112.66,112.81,112.635,112.76,782800,0.0
2017-09-12,112.71,112.81,112.6,112.62,875583,0.0
2017-09-13,112.46,112.75,112.32,112.46,1291020,0.0
2017-09-14,112.5,112.81,112.43,112.75,1060088,0.0
2017-09-17,112.86,113.23,112.8,113.01,1476731,0.0
2017-09-18,112.91,113.05,112.83,112.92,808381,0.0
2017-09-19,112.85,112.95,112.5,112.55,1077053,0.0
2017-09-20,112.49,112.85,112.34,112.7,974016,0.0
2017-09-21,112.55,112.77,112.49,112.63,519260,0.0
2017-09-24,112.55,112.63,112.36,112.41,1709106,0.0
2017-09-25,112.4,112.6,112.31,112.44,1077283,0.0
2017-09-26,112.4,112.89,112.4,112.74,1045553,0.0
2017-09-27,112.7,113.07,112.61,112.86,1353930,0.0
2017-09-28,112.96,113.4,112.83,113.09,1544868,0.0
2017-10-01,113.15,113.39,112.85,113.14,1709811,0.0
2017-10-02,113.22,113.43,113.01,113.36,1000657,0.0
2017-10-03,113.3,113.8,113.1,113.68,1503694,0.0
2017-10-04,113.75,113.83,113.56,113.67,809233,0.0
2017-10-05,114.01,114.415,113.9,113.96,2583996,0.0
2017-10-08,114.1,114.67,113.99,114.57,1690108,0.0
2017-10-09,114.65,115.165,114.46,115,2594014,0.0
2017-10-10,114.94,115.61,114.83,115.43,2092437,0.0
2017-10-11,115.15,115.35,114.8,115.18,1140217,0.0
2017-10-12,115.68,115.68,115.04,115.16,1189441,0.0
2017-10-15,115.51,115.5199,114.76,114.965,1119611,0.0
2017-10-16,114.97,115.2,114.92,115.14,1282601,0.0
2017-10-17,115.03,115.51,115.03,115.41,1957163,0.0
2017-10-18,115.15,115.47,115.01,115.41,1027372,0.0
2017-10-19,115.7,115.94,115.4,115.87,2350315,0.0
2017-10-22,115.71,116.44,115.71,116.4,1683140,0.0
2017-10-23,116.5,117,116.4,116.76,1437982,0.0
2017-10-24,116.59,116.79,116.2368,116.42,1757792,0.0
2017-10-25,117.66,118,116.61,116.71,3810401,0.0
2017-10-26,116.87,117.3,116.82,116.99,2398520,0.0
2017-10-29,116.43,116.97,116.275,116.73,2275860,0.0
2017-10-30,116.7,117.07,116.5,116.95,1778326,0.0
2017-10-31,117.05,117.73,116.885,117.25,2191989,0.0
2017-11-01,117.03,117.73,116.57,117.48,2931556,0.0
2017-11-02,117.55,118.2,111.37,115.02,24714785,0.0
2017-11-05,115.02,116.88,115.02,116.72,7559523,0.0
2017-11-06,116.32,116.98,115.995,116.66,2671405,0.0
2017-11-07,116.7,117.56,116.245,116.35,4904454,0.0
2017-11-08,116.12,116.6,114.99,115.36,2961043,0.0
2017-11-09,115.25,116.25,115.04,116.02,2103975,0.0
2017-11-12,116.12,116.2,115.53,115.65,1757516,0.0
2017-11-13,115.6,115.95,115.02,115.48,2701847,0.0
2017-11-14,115.42,115.43,114.72,114.99,1999275,0.0
2017-11-15,115.2,115.88,115.05,115.2,3097979,0.0
2017-11-16,115.38,115.7,115.2,115.48,1644659,0.0
2017-11-19,115.51,115.9125,115.14,115.2,1193991,0.0
2017-11-20,115.22,115.61,115.15,115.35,1695206,0.0
2017-11-21,115.32,115.86,115.07,115.18,1299220,0.0
2017-11-23,114.81,115.2,114.54,114.7,1771921,0.0
2017-11-26,114.5,115.08,114.44,114.53,2112932,0.0
2017-11-27,114.65,114.85,113.78,113.8,2834561,0.0
2017-11-28,113.85,114.1737,112.5,113,5284804,0.0
2017-11-29,113.3,114.18,112.95,113.17,2857800,0.0
2017-11-30,114.01,115,113.9259,114.78,4507637,0.0
2017-12-03,115,115.05,113.75,113.91,2556567,0.0
2017-12-04,113.7,114.29,113.53,113.75,2157180,0.0
2017-12-05,114.14,115,113.4,114.34,2130706,0.0
2017-12-06,114.5,115.28,114.25,115.11,1849841,0.0
2017-12-07,115.15,115.85,115.13,115.28,1596870,0.0
2017-12-10,116.4,116.6,115.63,115.825,2110218,0.0
2017-12-11,116.11,116.32,115.5001,115.61,1075937,0.0
2017-12-12,115.65,116.1,115.61,116.05,1304675,0.0
2017-12-13,115.96,116.1,115.625,115.87,914553,0.0
2017-12-14,115.85,116.33,115.47,116.26,1265308,0.0
2017-12-17,116.22,116.92,116.07,116.85,1119115,0.0
2017-12-18,116.63,117,116.3,116.47,1195473,0.0
2017-12-19,116.56,116.89,116.399,116.74,1147352,0.0
2017-12-20,116.73,116.91,116.6,116.71,839596,0.0
2017-12-21,116.72,117.38,116.61,116.73,1195957,0.0
2017-12-25,116.61,116.84,116.49,116.595,641751,0.0
2017-12-26,116.7,116.87,116.47,116.7,859560,0.0
2017-12-27,116.63,117.12,116.5535,116.96,695125,0.0
2017-12-28,116.93,117.4,116.91,117.08,1085919,0.0
2018-01-01,117,117.98,116.8,117.9799,1533205,0.0
2018-01-02,118,118.53,117.68,118.15,2377662,0.0
2018-01-03,118.09,118.325,117.66,117.9,1664727,0.0
2018-01-04,118.09,118.3099,117.91,118.04,1391138,0.0
2018-01-07,118.65,118.65,117.95,118.23,1071439,0.0
2018-01-08,118.3,118.83,118.26,118.41,1172345,0.0
2018-01-09,118.37,119.27,118.07,119.13,1461149,0.0
2018-01-10,119.15,119.48,118.75,119.22,2161829,0.0
2018-01-11,119.29,119.7,118.99,119.55,1816603,0.0
2018-01-15,119.52,119.9,119.42,119.44,1961172,0.0
2018-01-16,119.34,119.47,118.795,119.34,3457323,0.0
2018-01-17,119.4,120.2,119.4,119.96,3598107,0.0
2018-01-18,120.11,120.67,120.095,120.43,3819884,0.0
2018-01-21,120.7,121.25,120.55,121.08,1698064,0.0
2018-01-22,121.37,121.46,120.85,120.87,1764364,0.0
2018-01-23,120.75,121.12,120.25,120.49,1296511,0.0
2018-01-24,121.24,121.24,120.2,120.21,1291015,0.0
2018-01-25,120.5,120.99,120.21,120.31,2156127,0.0
2018-01-28,120.07,120.65,119.51,120.52,1210673,0.0
2018-01-29,120.01,120.41,119.9,120.3,1286939,0.0
2018-01-30,120.55,120.7,119.8902,120.44,2064699,0.0
2018-01-31,120.85,121.5,120.63,121.28,2690935,0.0
2018-02-01,121.12,121.29,120.5,120.62,2056214,0.0
2018-02-04,119.54,120.32,117.86,118.16,4149431,0.0
2018-02-05,117.1,118.77,117,118.16,3426178,0.0
2018-02-06,118.15,118.3,116.24,116.43,3199211,0.0
2018-02-07,118.25,118.75,115.76,115.92,4857251,0.0
2018-02-08,116.24,116.55,114.77,115.79,3339175,0.0
2018-02-11,116.3,116.9,115.98,116.6,1700245,0.0
2018-02-12,116.21,117.08,115.99,116.2,1632821,0.0
2018-02-13,115.88,116.25,114.55,114.89,4004830,0.0
2018-02-14,115.39,117.05,115.21,116.889,2049351,0.0
2018-02-15,116.51,119.03,116.5,118.5,4435505,0.0
2018-02-19,125.8,126.09,125.5,125.56,20569664,0.0
2018-02-20,125.78,125.92,125.59,125.6,10284101,0.0
2018-02-21,125.75,125.82,125.65,125.71,4707119,0.0
2018-02-22,125.68,125.73,125.33,125.42,5071155,0.0
2018-02-25,125.35,125.45,124.18,124.48,6144025,0.0
2018-02-26,124.42,124.89,124.4,124.66,2368299,0.0
2018-02-27,124.7,124.78,124.64,124.65,1775653,0.0
2018-02-28,124.37,124.7,123.5,123.86,4296745,0.0
2018-03-01,123.76,124.3,123.5,124,2233164,0.0
2018-03-04,125.45,125.53,124.695,124.78,4356508,0.0
2018-03-05,124.96,125.0887,124.01,124.4,3587194,0.0
2018-03-06,124.03,124.13,123.6,123.78,2516042,0.0
2018-03-07,124,124.17,123.65,123.69,1310255,0.0
2018-03-08,123.96,124,123.31,123.55,2193951,0.0
2018-03-11,123.45,123.94,123.28,123.62,1720908,0.0
2018-03-12,123.98,124,122.05,122.52,5282303,0.0
2018-03-13,122.75,123.21,120.99,122.31,5591204,0.0
2018-03-14,122.29,123.09,121.86,121.88,1760737,0.0
2018-03-15,121.9,122.58,121.15,122.1999,2597164,0.0
2018-03-18,122.1,123.5,121.76,122.59,1317939,0.0
2018-03-19,122.72,123.24,122.71,123.14,1150115,0.0
2018-03-20,121.9,122.44,121.69,121.96,2166722,0.0
2018-03-21,121.56,121.68,120.5,120.93,2818069,0.0
2018-03-22,121.8,121.8,119.5,120.23,1857713,0.0
2018-03-25,121.38,121.95,121,121.63,2168040,0.0
2018-03-26,122.16,122.48,121.32,121.5,2104804,0.0
2018-03-27,121.53,121.76,116.02,116.24,8802832,0.0
2018-03-28,117.25,117.66,115.445,116.98,4028140,0.0
2018-04-01,117,117.07,114.57,115.23,3698856,0.0
2018-04-02,115.53,116.49,115.23,116.4,2717510,0.0
2018-04-03,115.2,115.94,113.771,115.38,3941589,0.0
2018-04-04,115.29,116.15,114.22,114.775,3711318,0.0
2018-04-05,114.24,114.8,113.38,113.74,3153087,0.0
2018-04-08,114.32,114.75,113.65,114.31,2857015,0.0
2018-04-09,115.4,117.36,115.4,116.6,5928772,0.0
2018-04-10,116.71,116.94,115.1,115.9,4634843,0.0
2018-04-11,115.88,115.88,112.25,114.25,8760556,0.0
2018-04-12,114.09,115.65,112.67,113.47,5440612,0.0
2018-04-15,113.47,113.64,112.65,112.82,1784920,0.0
2018-04-16,113.15,113.94,112.8301,113.13,2237722,0.0
2018-04-17,113.01,113.59,112.59,112.97,1256256,0.0
2018-04-18,110.075,110.15,106.75,107.19,9957437,0.0
2018-04-19,107.89,108.08,103.19,105.16,11112868,0.0
2018-04-22,105.6,106.305,102.82,103.17,7578345,0.0
2018-04-23,103.17,103.4,100.23,101.7599,10682464,0.0
2018-04-24,102.3,102.7,100.36,101.19,7140899,0.0
2018-04-25,102,104.76,101.97,102.62,7455120,0.0
2018-04-26,103.9,105.82,102.97,105.41,5937313,0.0
