Date,Open,High,Low,Close,Volume,OpenInterest
2017-05-02,69.38,69.38,68.71,69.08,24576064,0.0
2017-05-03,69.03,69.08,68.64,68.81,18561598,0.0
2017-05-04,68.9,69.03,68.485,68.99,15644971,0.0
2017-05-07,68.97,69.05,68.42,68.94,13890169,0.0
2017-05-08,68.86,69.28,68.68,69.03,16849917,0.0
2017-05-09,68.99,69.56,68.92,69.31,15254802,0.0
2017-05-10,68.36,68.73,68.12,68.46,22425064,0.0
2017-05-11,68.61,68.61,68.04,68.38,14153682,0.0
2017-05-14,68.16,68.48,67.57,68.43,23337850,0.0
2017-05-15,68.23,69.44,68.16,69.41,28250842,0.0
2017-05-16,68.89,69.1,67.43,67.45,23586708,0.0
2017-05-17,67.39,68.13,67.14,67.72,20967661,0.0
2017-05-18,67.52,68.095,67.43,67.69,20641486,0.0
2017-05-21,67.89,68.47,67.5,68.45,11423708,0.0
2017-05-22,68.72,68.75,68.38,68.69,12398439,0.0
2017-05-23,68.87,68.88,68.45,68.77,11426105,0.0
2017-05-24,68.97,69.88,68.91,69.62,17091239,0.0
2017-05-25,69.8,70.22,69.52,69.96,16791297,0.0
2017-05-29,69.79,70.41,69.77,70.41,13709243,0.0
2017-05-30,70.52,70.74,69.81,69.87,20186658,0.0
2017-05-31,70.23,70.61,69.451,70.12,17511464,0.0
2017-06-01,70.44,71.86,70.24,71.75,28961739,0.0
2017-06-04,71.97,72.89,71.81,72.28,24816028,0.0
2017-06-05,72.3,72.62,72.27,72.52,25548782,0.0
2017-06-06,72.64,72.77,71.95,72.39,17551012,0.0
2017-06-07,72.51,72.52,71.5,71.93,19767646,0.0
2017-06-08,72.02,72.08,68.59,70.32,42720382,0.0
2017-06-11,69.25,69.94,68.13,69.78,41482160,0.0
2017-06-12,70.02,70.82,69.96,70.65,20601313,0.0
2017-06-13,70.91,71.1,69.43,70.27,21786438,0.0
2017-06-14,69.42,70.21,68.8,69.9,22157711,0.0
2017-06-15,69.76,70.0252,69.22,69.99,30206321,0.0
2017-06-18,70.5,70.945,70.35,70.87,17830499,0.0
2017-06-19,70.82,70.87,69.87,69.9,15352396,0.0
2017-06-20,70.26,70.62,69.94,70.27,15580898,0.0
2017-06-21,70.39,70.59,69.71,70.26,19731427,0.0
2017-06-22,70.08,71.25,69.92,71.23,18099425,0.0
2017-06-25,71.4,71.71,70.445,70.52,15776506,0.0
2017-06-26,70.11,70.18,69.18,69.21,20970243,0.0
2017-06-27,69.2,69.841,68.79,69.8,21955630,0.0
2017-06-28,69.38,69.49,68.09,68.5,24862377,0.0
2017-06-29,68.78,69.38,68.74,68.94,17601453,0.0
2017-07-02,69.33,69.6,68.02,68.16,12769068,0.0
2017-07-04,68.255,69.44,68.22,69.09,16061409,0.0
2017-07-05,68.29,68.78,68.12,68.58,17974879,0.0
2017-07-06,68.71,69.84,68.7,69.45,12769839,0.0
2017-07-09,69.46,70.25,69.2,69.98,12495857,0.0
2017-07-10,70,70.68,69.75,70,14228960,0.0
2017-07-11,70.65,71.28,70.55,71.15,14233021,0.0
2017-07-12,71.45,72.0399,71.31,71.77,16610738,0.0
2017-07-13,72.24,73.27,71.96,72.77,21876503,0.0
2017-07-16,72.8,73.45,72.72,73.35,18235488,0.0
2017-07-17,73.09,73.39,72.66,73.29,22323775,0.0
2017-07-18,73.5,74.04,73.45,73.85,18026166,0.0
2017-07-19,74.17,74.3,73.28,74.25,28766579,0.0
2017-07-20,73.52,74.29,73.17,73.75,38068728,0.0
2017-07-23,73.53,73.75,73.13,73.61,16612296,0.0
2017-07-24,73.8,74.31,73.5,74.199,17659800,0.0
2017-07-25,74.34,74.38,73.81,74.05,12663330,0.0
2017-07-26,73.76,74.42,72.32,73.15,27247287,0.0
2017-07-27,72.72,73.31,72.54,73.03,13851619,0.0
2017-07-30,73.3,73.44,72.41,72.72,17128584,0.0
2017-07-31,73.04,73.42,72.49,72.55,15903866,0.0
