Date,Open,High,Low,Close,Volume,OpenInterest
2018-04-26,38,40.89,37,39.75,15929777,0.0
2018-04-29,39.9047,40.19,37.53,38.51,3153172,0.0
2018-04-30,38.7,39.89,37.85,39.42,1157483,0.0
2018-05-01,39.85,40.5,38.75,39.52,1176749,0.0
2018-05-02,39.69,42.57,38.81,41.9689,1649712,0.0
2018-05-03,42.4,42.66,41.01,41.04,705297,0.0
2018-05-06,41.65,41.912,41.04,41.3,569635,0.0
2018-05-07,41.5,43.6799,40.5,43.22,768405,0.0
2018-05-08,44.44,44.87,43.245,44.16,1098819,0.0
2018-05-09,44.88,46.699,43.66,44.01,1368152,0.0
2018-05-10,44.56,45.8895,44.01,44.34,700197,0.0
2018-05-13,44.99,45.7265,43.37,44.19,960251,0.0
2018-05-14,44.39,45.73,43.495,45.46,389051,0.0
2018-05-15,45.34,45.65,44.56,45.23,262124,0.0
2018-05-16,45.2,46.4,44.55,44.9,304541,0.0
2018-05-17,44.75,45,44.36,44.78,318313,0.0
2018-05-20,45.5,45.62,41.72,42.92,739015,0.0
2018-05-21,43.24,44.72,42.851,43.08,994985,0.0
2018-05-22,43.64,45.62,43.1,45.42,1057202,0.0
2018-05-23,45.94,47.7,45.2962,46.77,940367,0.0
2018-05-24,47.5,48.9,46.1071,46.34,621195,0.0
2018-05-28,46.67,49.33,45.855,48.4,865847,0.0
2018-05-29,48.9,51,48.56,50.02,737170,0.0
2018-05-30,50.13,51.2009,49.53,49.79,768862,0.0
2018-05-31,50.28,50.74,49.76,50.14,459029,0.0
2018-06-03,51,54.15,50.54,53.61,995789,0.0
2018-06-04,54.29,58.28,52,54.67,2256341,0.0
2018-06-05,55.63,57.38,54.36,57.31,868677,0.0
2018-06-06,58.95,59.86,53.5,56,2805689,0.0
2018-06-07,58.25,60.45,55.31,57.95,6337700,0.0
2018-06-10,58.3,60,58.2,59.54,1931470,0.0
2018-06-11,60.49,63.35,60,61.85,2184143,0.0
2018-06-12,63.28,64.97,62,63.76,1922547,0.0
2018-06-13,64.99,65.8159,63.1,63.53,1680363,0.0
2018-06-14,63.09,64.58,62.3,63.95,2130837,0.0
2018-06-17,63.51,66.191,61.6452,63.91,1387860,0.0
2018-06-18,62.14,64.7,57.6,63.83,3476369,0.0
2018-06-19,64.67,66.8,62.03,62.41,2167620,0.0
2018-06-20,63.06,63.19,57.47,57.51,2819884,0.0
2018-06-21,58.9,58.99,55,57.55,2346013,0.0
2018-06-24,55.58,55.6552,52.05,55,2617001,0.0
2018-06-25,55.49,56.9689,54.9,56.46,1210712,0.0
2018-06-26,56.95,57.2,51.74,51.75,2041094,0.0
2018-06-27,51.62,54,50.3435,52.99,1996812,0.0
2018-06-28,53.67,54,51.8305,52.94,1320162,0.0
2018-07-01,52.46,53.16,50.5,52.34,1695453,0.0
2018-07-02,52.46,53.5,51.85,51.95,645716,0.0
2018-07-04,52.49,55.39,51.5934,54.57,1965253,0.0
2018-07-05,54.75,55.96,54.07,54.91,1034412,0.0
2018-07-08,55.28,56.49,54.8711,55.33,786823,0.0
2018-07-09,55.77,55.77,52.19,52.32,1405184,0.0
2018-07-10,52,53.76,51.61,51.99,994461,0.0
2018-07-11,52.24,56.44,51.5,55.38,2203888,0.0
2018-07-12,55.38,56,54.68,55.33,938748,0.0
2018-07-15,55.25,57.2787,54.9,55.04,740117,0.0
2018-07-16,54.5,55.4,52.94,54.09,1297484,0.0
2018-07-17,53.93,55.015,52.91,53.01,816737,0.0
2018-07-18,52.93,53.81,51.93,52.34,1037489,0.0
2018-07-19,52.25,52.7652,51.71,52.21,568046,0.0
2018-07-22,51.97,55.85,51.75,55.5,1105045,0.0
2018-07-23,56.12,57.5,52.9,53.78,1540664,0.0
2018-07-24,53.76,55.6617,53.76,54.68,452409,0.0
2018-07-25,54.01,55.88,53.77,55.475,1347984,0.0
2018-07-26,56.73,57,53.5,54.82,1108406,0.0
2018-07-29,54.92,55.24,50.06,51.7,1895460,0.0
2018-07-30,51.89,54.96,51.51,53.84,970977,0.0
2018-07-31,54.3,56.15,54.1947,55.75,733826,0.0
2018-08-01,55.39,59.18,55,58.92,1174296,0.0
2018-08-02,59.15,59.5999,56.25,57.02,748420,0.0
2018-08-05,57.16,60.39,57.16,60,840050,0.0
2018-08-06,60.75,60.95,59.4564,59.92,815519,0.0
2018-08-07,59.45,61.81,59.2,61.36,740226,0.0
2018-08-08,61.67,62.15,60.175,60.44,700806,0.0
2018-08-09,60.3,60.45,57.12,58.2,1354625,0.0
2018-08-12,58.1,58.38,55.57,56.14,826176,0.0
2018-08-13,56.56,58.225,55.73,57.82,491463,0.0
2018-08-14,57.25,57.8,55.3,56.15,677780,0.0
2018-08-15,56.96,57.91,56.06,57.67,538247,0.0
2018-08-16,57.47,59.4,56.355,58.7065,532945,0.0
2018-08-19,58.91,62,57.9,61.28,1274965,0.0
2018-08-20,61.69,63.8,61.56,62.535,1208135,0.0
2018-08-21,62.3,63.3666,60.34,61.89,766568,0.0
2018-08-22,61.86,64.939,61.86,63.9,1138944,0.0
2018-08-23,64.25,67.21,64,65.45,963300,0.0
2018-08-26,66.99,67.71,64.63,65.45,914563,0.0
2018-08-27,66,68.35,65.72,66.34,1081753,0.0
2018-08-28,66.5,68.02,65.75,67.87,766753,0.0
2018-08-29,67.3,67.4,64.55,64.98,1422970,0.0
2018-08-30,64.47,65.3599,62.19,62.44,1896461,0.0
2018-09-03,62.8,65.7,60.83,64.79,1701187,0.0
2018-09-04,64.69,65.87,62.55,63.1,2558758,0.0
2018-09-05,59.08,59.9,56.79,57.84,3794575,0.0
2018-09-06,56.8,59.67,56.26,56.95,2016293,0.0
2018-09-09,58,58.24,53.64,53.93,2626250,0.0
2018-09-10,53.75,54.8,52.8301,53.97,1678600,0.0
2018-09-11,53.02,57.56,53.02,57.2,2365109,0.0
2018-09-12,57.25,57.49,55.06,55.39,1857265,0.0
2018-09-13,55.29,55.3,53.43,53.77,5044004,0.0
2018-09-16,53.85,54.89,51.6,52.18,2297584,0.0
2018-09-17,52.23,53.4,51.65,53.12,1418372,0.0
2018-09-18,52.77,53.1,51.5,51.73,1041850,0.0
2018-09-19,52.32,52.69,51.12,52.21,1018091,0.0
2018-09-20,52.93,53.32,51.7824,52.54,1370672,0.0
2018-09-23,52.1,52.33,51.4,51.86,1271837,0.0
2018-09-24,52.16,53.71,51.62,53.38,1468401,0.0
2018-09-25,53.51,54.02,52.44,52.51,1354112,0.0
2018-09-26,52.64,53.75,52.25,52.76,1614055,0.0
2018-09-27,52.77,53.03,52.1,52.57,1084905,0.0
2018-09-30,52.98,53,48.56,48.84,3704189,0.0
2018-10-01,49.19,49.2429,45.04,46.41,4767964,0.0
2018-10-02,46.48,47.735,45.3,47.11,2622425,0.0
2018-10-03,46.9,47.5499,44.9,45.77,1409156,0.0
2018-10-04,45.65,46.03,43.52,45.26,1458651,0.0
2018-10-07,44.63,45,42.25,43.23,1908965,0.0
2018-10-08,42.98,45,41.33,41.46,1761847,0.0
2018-10-09,42.03,42.03,38.28,40.62,3294229,0.0
2018-10-10,39.82,41.65,39.3418,40.25,2316932,0.0
2018-10-11,42.09,45,41.71,44.64,2913602,0.0
2018-10-14,44.44,45.16,42.64,43.81,950294,0.0
2018-10-15,44.75,48.01,44.52,47.72,2112671,0.0
2018-10-16,48,48.148,46.5,47.55,1315053,0.0
2018-10-17,47.03,48.3,45.55,46.19,1203682,0.0
2018-10-18,46.3,46.5,41.6,41.97,2388487,0.0
2018-10-21,42.72,43.7,41.8008,42.44,1112106,0.0
2018-10-22,41.33,42.28,40.7099,41.41,1806358,0.0
2018-10-23,40.5,41.16,39.12,39.17,3654401,0.0
2018-10-24,39.1,40.82,38.55,40.31,2454550,0.0
2018-10-25,39.51,41.34,38.55,41.18,2372307,0.0
2018-10-28,42.28,43,39.05,40.41,1569012,0.0
2018-10-29,40.16,42,39.81,41.74,1336068,0.0
2018-10-30,42.05,43.2,41.47,41.91,1921247,0.0
2018-10-31,42.14,42.56,40.35,41.85,1506845,0.0
2018-11-01,42,43.36,41.21,42.84,1518675,0.0
2018-11-04,42.63,42.99,40.9,42.35,1386911,0.0
2018-11-05,41.98,42.9,41.47,42.54,917361,0.0
