Date,Open,High,Low,Close,Volume,OpenInterest
2017-06-25,276.09,278.69,267.7,268.01,292224,0.0
2017-06-26,265.59,265.59,255.66,255.78,523679,0.0
2017-06-27,260,263.23,250.34,262.14,696311,0.0
2017-06-28,259.85,262.7,247.48,252.43,548669,0.0
2017-06-29,254.1,254.48,249.127,250.89,325334,0.0
2017-07-02,254.03,254.97,248.53,250.87,162831,0.0
2017-07-04,250.39,253.83,246.2,248.98,591692,0.0
2017-07-05,246.01,252.29,245.5,251.01,437972,0.0
2017-07-06,252.24,257.9,252.18,255.67,435653,0.0
2017-07-09,256.99,261.47,253.15,259.82,422457,0.0
2017-07-10,258.57,263.39,256.465,262.38,402778,0.0
2017-07-11,267.54,274.69,266.065,274.35,572181,0.0
2017-07-12,273.4,276,269.8,271.68,404514,0.0
2017-07-13,273.41,274.17,268.5881,273.52,352630,0.0
2017-07-16,274,278.9999,272.76,276.12,573522,0.0
2017-07-17,275,281.1,273.3033,280.11,352816,0.0
2017-07-18,280,281.4799,278.23,280.69,384144,0.0
2017-07-19,281.09,284.01,279.3255,282,366726,0.0
2017-07-20,281.2,282.1,279.18,280.16,294798,0.0
2017-07-23,280.97,283.26,280.4,282.38,321332,0.0
2017-07-24,281.51,282.5,275.9,279.26,545273,0.0
2017-07-25,279.63,286.03,278.51,286.03,555566,0.0
2017-07-26,287,290.992,280.05,286.63,1231529,0.0
2017-07-27,285.9,290.79,284.6083,288.88,612498,0.0
2017-07-30,291.44,292.9,286.37,288.45,579132,0.0
2017-07-31,288.51,290.74,287.89,288.95,669059,0.0
2017-08-01,293.69,293.8645,281.39,286.6,700493,0.0
2017-08-02,287,293.21,286.77,292.58,604846,0.0
2017-08-03,262.3,272.09,258.12,260.29,3654048,0.0
2017-08-06,258.06,265.5,252.85,256.27,1234759,0.0
2017-08-07,256.17,259.17,251.05,251.92,633448,0.0
2017-08-08,249.6,252.15,245.12,251.52,971733,0.0
2017-08-09,250,251.43,232.17,232.63,1563854,0.0
2017-08-10,234.17,240.885,232.63,240.15,1053808,0.0
2017-08-13,243.2,243.2,234.55,236.97,665410,0.0
2017-08-14,237.17,237.93,234.6,236.17,423744,0.0
2017-08-15,238.89,242.65,236.71,241.86,458156,0.0
2017-08-16,240.4,242.065,233.95,234.16,615343,0.0
2017-08-17,234.09,238.4399,232.72,236.14,502741,0.0
2017-08-20,235.29,242.64,235.29,242.06,523181,0.0
2017-08-21,241.96,244.8202,241.75,243.3,615360,0.0
2017-08-22,242,244.79,241.37,243.67,238228,0.0
2017-08-23,244.57,245.17,240.6354,243.62,418561,0.0
2017-08-24,249.84,249.95,244.875,246.59,540888,0.0
2017-08-27,246.67,248.28,241.67,242.53,325551,0.0
2017-08-28,240,243.75,238.25,240.83,493671,0.0
2017-08-29,242.31,247.13,240.15,246.87,825968,0.0
2017-08-30,248.99,259.4,247.29,258.46,664251,0.0
2017-08-31,258.01,258.73,251.37,251.93,397399,0.0
2017-09-04,252.6,257.76,251.51,256.63,453957,0.0
2017-09-05,257.67,259.35,251.92,258.1,365307,0.0
2017-09-06,258.92,260.95,256.16,258.68,328688,0.0
2017-09-07,258.21,262.25,258.21,260.08,255764,0.0
2017-09-10,265.08,286.66,265.07,285.22,973710,0.0
2017-09-11,284.17,295.68,281.88,290.79,841309,0.0
2017-09-12,290,293.31,287.57,292.22,272274,0.0
2017-09-13,290.57,292.44,287.54,287.94,347360,0.0
2017-09-14,287.51,289.425,281.28,282.56,396440,0.0
2017-09-17,282.95,290.97,281.75,289.83,476212,0.0
2017-09-18,289.19,290.25,285,289.96,362262,0.0
2017-09-19,289.33,296.35,287.06,290.17,570013,0.0
2017-09-20,291.3,291.85,279.605,281.84,449266,0.0
2017-09-21,280.07,283.68,279.27,279.46,396000,0.0
2017-09-24,279.73,279.82,262.23,270.2,846421,0.0
2017-09-25,271.51,273.66,265.11,269.27,416970,0.0
2017-09-26,270.08,275.29,266.84,267.18,351082,0.0
2017-09-27,266.16,268.88,260.07,261.99,432258,0.0
2017-09-28,263.6,265.9,257.84,258.93,510151,0.0
2017-10-01,258.92,266.98,258.92,263.56,464148,0.0
2017-10-02,262.57,264.61,256.27,264.36,514428,0.0
2017-10-03,264.36,270.97,260.01,263.8,531488,0.0
2017-10-04,265.68,271.535,263.83,270.29,312678,0.0
2017-10-05,268.35,272.71,265.03,268.7,320329,0.0
2017-10-08,268.82,272.25,268,269.87,301276,0.0
2017-10-09,272.23,276.0454,269.37,273.65,441627,0.0
2017-10-10,274.15,275.91,272.06,274.49,432187,0.0
2017-10-11,259,260,241.71,246.25,2525515,0.0
2017-10-12,245.87,251.18,241.505,244.86,1022884,0.0
2017-10-15,245.11,248.9,228.74,233.02,1800985,0.0
2017-10-16,232.17,237.51,230.87,234.79,883594,0.0
2017-10-17,240.06,243.8,237.22,242.41,1000876,0.0
2017-10-18,241.91,241.91,233.2,236,699557,0.0
2017-10-19,237,237.65,233.8,235.72,608491,0.0
2017-10-22,227.56,232.5,223.22,226.56,997114,0.0
2017-10-23,226.5,230.85,222.1,225.45,842376,0.0
2017-10-24,224.45,228.13,217.06,221.57,643868,0.0
2017-10-25,226.3,230,222.74,228.99,862628,0.0
2017-10-26,231.4,238.82,228.97,235.96,670477,0.0
2017-10-29,232.02,237.5,229.63,234.76,516819,0.0
2017-10-30,236.24,240.93,233.505,240.38,293600,0.0
2017-10-31,242.5,243.89,233.58,239.02,510230,0.0
2017-11-01,240.48,240.48,234.67,236.41,617180,0.0
2017-11-02,256.25,273.78,251.9703,267.33,2167893,0.0
2017-11-05,265.63,274.45,263.06,268.795,586082,0.0
2017-11-06,269.31,269.35,259.51,265.63,463442,0.0
2017-11-07,264.01,268,259.01,260.09,328051,0.0
2017-11-08,253.98,268.6,250.83,266.46,1023689,0.0
2017-11-09,264.6,273.82,261.54,271,661311,0.0
2017-11-12,265.23,273.675,262.74,267.02,385646,0.0
2017-11-13,264.39,267.07,259.175,262.58,296703,0.0
2017-11-14,260.3,266.96,258.06,263.56,250832,0.0
2017-11-15,263.49,267.88,259.1,262.44,565484,0.0
2017-11-16,265.17,270.6,259.12,269.58,508190,0.0
2017-11-19,268.6,271.98,263.57,265.79,368635,0.0
2017-11-20,266.5,270.36,265.84,268.759,287290,0.0
2017-11-21,267.74,269.007,263.43,265.85,225628,0.0
2017-11-23,265.76,272.61,265.335,271.18,195595,0.0
2017-11-26,272.38,277.89,271.02,272.61,477621,0.0
2017-11-27,270.79,272.16,263.71,269.84,379764,0.0
2017-11-28,269.73,272.42,266.21,267.93,643080,0.0
2017-11-29,271.44,276.48,270.36,275.32,530136,0.0
2017-11-30,273.54,282.55,270.5001,272.97,551263,0.0
2017-12-03,275,281.35,271.52,271.76,691237,0.0
2017-12-04,272.8,278.69,269.77,270.81,626989,0.0
2017-12-05,269.8,274.39,267.01,272.26,421882,0.0
2017-12-06,271.46,273.72,268.9,272.68,257503,0.0
2017-12-07,275.41,280.64,273.201,276.49,345449,0.0
2017-12-10,276.05,289.28,276,288.81,572106,0.0
2017-12-11,286.43,298.8,285.14,295.06,763611,0.0
2017-12-12,310.55,321.54,307.53,318.99,1437961,0.0
2017-12-13,316.1,329,314.61,321.08,704166,0.0
2017-12-14,322.91,323.71,315.25,318.99,554074,0.0
2017-12-17,322.81,329.06,319.79,326.05,382206,0.0
2017-12-18,326.03,334.99,322.57,329.27,585050,0.0
2017-12-19,317.5,322.99,311.04,314.94,1076690,0.0
2017-12-20,314.28,321.355,314.28,318.49,288641,0.0
2017-12-21,318.94,320.28,313.11,314.58,355556,0.0
2017-12-25,314.35,323.35,313.4,318.49,421195,0.0
2017-12-26,318.6,320.785,315,318.985,460156,0.0
2017-12-27,319.4,322.48,314.11,315.61,321254,0.0
2017-12-28,314.49,318.21,312.69,314.7,313151,0.0
2018-01-01,317.49,322.635,316.99,322.58,248381,0.0
2018-01-02,324.67,329.97,322.5,329.24,339110,0.0
2018-01-03,329.89,332.94,322.55,325.88,299970,0.0
2018-01-04,329.2,336.485,328.595,330.64,389591,0.0
2018-01-07,328.12,341.47,327.66,340.5,272992,0.0
2018-01-08,343.29,344.18,336,337.38,190817,0.0
2018-01-09,336.12,339.98,333.23,339.59,543419,0.0
2018-01-10,341.11,343.19,336.67,342.01,222814,0.0
2018-01-11,342.63,344.52,338.01,342.47,243547,0.0
2018-01-15,345.94,348.17,339.0673,339.82,274483,0.0
2018-01-16,342.66,345.9199,340.28,340.45,255013,0.0
2018-01-17,340.45,347.28,338.41,341.88,460489,0.0
2018-01-18,340.94,345.86,340,345.32,231727,0.0
2018-01-21,355.5,355.66,343.35,352.27,318128,0.0
2018-01-22,354.08,356.8107,353.14,355.31,323874,0.0
2018-01-23,362.61,363.76,347.2,355.6,374015,0.0
2018-01-24,359,360.52,352.48,359.93,432085,0.0
2018-01-25,365.12,383.69,365.12,381.31,742081,0.0
2018-01-28,382.1,395.665,382.04,390.37,872355,0.0
2018-01-29,385.88,387.02,375.02,386.5,515002,0.0
2018-01-30,386.15,392,384.07,387.099,241977,0.0
2018-01-31,385.75,387.895,377.55,378.78,279105,0.0
2018-02-01,377.04,379.94,367.001,368.24,389071,0.0
2018-02-04,363.1,374.455,351.9,351.91,435305,0.0
2018-02-05,345.09,358.35,336.66,350.32,828309,0.0
2018-02-06,348.1,357.97,343.12,343.64,520569,0.0
2018-02-07,346.71,350.53,337.62,345.32,756192,0.0
2018-02-08,348.68,358.19,320.2,335.8,1267834,0.0
2018-02-11,339.07,366.29,339.07,353.44,847868,0.0
2018-02-12,352.62,367.7,351.44,366.51,402021,0.0
2018-02-13,361.82,378.75,361.82,375.73,296775,0.0
2018-02-14,381.01,383.26,367.34,379.01,385568,0.0
2018-02-15,377.21,380.22,369.675,369.87,307679,0.0
2018-02-19,368.99,376.2,366.85,375.78,381757,0.0
2018-02-20,380,383.5625,372.61,373.06,342577,0.0
2018-02-21,376,379.95,366.96,369.49,542808,0.0
2018-02-22,359.89,390.55,356.09,387.25,1509367,0.0
2018-02-25,388.66,392.92,381.02,392.56,636034,0.0
2018-02-26,392.56,397.88,373.02,375.43,742989,0.0
2018-02-27,388.47,399.34,380.64,387.96,715931,0.0
2018-02-28,388.69,390.6,378.92,385.45,332983,0.0
2018-03-01,381.31,389.18,372.24,389.18,416418,0.0
2018-03-04,387.61,395.96,382.98,390.9,480537,0.0
2018-03-05,394.91,411.705,393.005,410.25,630379,0.0
2018-03-06,408.26,411.75,397.31,407.86,382770,0.0
2018-03-07,391.6,406,389.0622,397.09,730982,0.0
2018-03-08,401.62,415.659,400,413.73,369907,0.0
2018-03-11,414.81,415.715,401.18,410.13,418305,0.0
2018-03-12,413.41,417.91,402.31,406.22,379453,0.0
2018-03-13,406.74,412.17,402.4101,405.2,211489,0.0
2018-03-14,394.52,397.78,386.24,387.025,506959,0.0
2018-03-15,389.04,390.573,373.35,378.45,504644,0.0
2018-03-18,374.74,383.95,363.545,366.57,623447,0.0
2018-03-19,368.39,371.495,355.51,364.71,469217,0.0
2018-03-20,364.88,366.13,358.66,361.77,328118,0.0
2018-03-21,356.12,358.45,344.49,350.71,531053,0.0
2018-03-22,350,353.47,340.01,344.73,405842,0.0
2018-03-25,352.35,354.39,342.5801,353.501,331749,0.0
2018-03-26,356.02,363.39,348.91,352.35,1130330,0.0
2018-03-27,351.48,358.43,335.13,341.45,625707,0.0
2018-03-28,342,357.56,338.26,356.37,363600,0.0
2018-04-01,348.26,355.09,343.69,347.21,394525,0.0
2018-04-02,351.31,356.23,338.1901,343.06,295459,0.0
2018-04-03,335.6,357.12,332.85,355.59,408477,0.0
2018-04-04,357.65,362.6863,350.51,352.36,480480,0.0
2018-04-05,348.7,353,340,342.42,269335,0.0
2018-04-08,345,351.42,340.07,342.78,251368,0.0
2018-04-09,349.64,352.776,341.48,347.74,556553,0.0
2018-04-10,348.21,348.21,328.38,328.65,1001580,0.0
2018-04-11,331.05,335.99,326,327.18,815370,0.0
2018-04-12,330.12,334.29,326.51,329.66,813735,0.0
2018-04-15,331.28,332.01,321.81,322.77,651134,0.0
2018-04-16,319.65,338.54,313.545,337.58,773831,0.0
2018-04-17,339.34,347.969,333.51,345.15,578219,0.0
2018-04-18,345,345,325.775,329.99,1127017,0.0
2018-04-19,329.45,332.41,318.2801,324.37,596116,0.0
2018-04-22,325.17,331.53,324.9,330.45,405579,0.0
2018-04-23,331.56,340.7,326.22,328.59,517695,0.0
2018-04-24,326.48,338.2,323.715,336.18,677158,0.0
2018-04-25,339.38,350.83,337.19,344.49,619702,0.0
2018-04-26,354,354,337,340.9,414224,0.0
2018-04-29,340.79,346.15,337.43,339.62,187303,0.0
2018-04-30,339.39,342.99,335.25,339.43,244187,0.0
2018-05-01,337.53,342.82,332.28,333.31,483527,0.0
2018-05-02,331.91,336.04,328.745,330.59,551450,0.0
2018-05-03,327.29,331.34,325.47,329.97,720954,0.0
2018-05-06,332.69,342.25,327.02,339.31,485993,0.0
2018-05-07,334.22,338.16,331.18,333.64,277716,0.0
2018-05-08,336.32,339,325.06,325.32,1039797,0.0
2018-05-09,309.89,335.99,305.98,316.43,1487779,0.0
2018-05-10,315.43,321.29,308.17,309,670942,0.0
2018-05-13,310.63,314.78,296.68,298.59,811018,0.0
2018-05-14,294.2,295.895,284.37,290.77,964499,0.0
2018-05-15,289.56,305.73,285.07,305.2,1088678,0.0
2018-05-16,303.03,303.44,296.391,298.85,607639,0.0
2018-05-17,297.75,304.66,292.24,295.41,450355,0.0
