Date,Open,High,Low,Close,Volume,OpenInterest
2017-03-14,122.54,124.49,122.25,124.17,1570702,0.0
2017-03-15,124.5,126.21,124.17,125.97,1451946,0.0
2017-03-16,126.87,127.44,126.16,126.48,1266243,0.0
2017-03-19,126.64,127.66,126.33,126.86,976898,0.0
2017-03-20,127.26,127.64,124,124.28,1187125,0.0
2017-03-21,124.08,125.43,123.96,125.41,884034,0.0
2017-03-22,125.25,126.2762,124.82,125.36,698012,0.0
2017-03-23,127.16,129.35,126.72,127.47,1612598,0.0
2017-03-26,126.2,128.385,125.6501,127.8,940741,0.0
2017-03-27,127.49,128.55,127.14,127.75,828005,0.0
2017-03-28,127.75,128,127.16,127.88,665169,0.0
2017-03-29,127.9,129.15,127.9,128.68,567843,0.0
2017-03-30,128.29,129,128.01,128.36,783310,0.0
2017-04-02,129.29,129.29,127.55,128.42,812062,0.0
2017-04-03,127.98,128.93,127.64,128.9,732905,0.0
2017-04-04,129.5,130.13,127.67,127.77,1029645,0.0
2017-04-05,127.69,128.91,126.8368,128.87,1042384,0.0
2017-04-06,128.83,129.815,128.2,129.31,485730,0.0
2017-04-09,129.13,129.75,128.35,128.8,630749,0.0
2017-04-10,128.36,128.7823,125.33,127.27,1116740,0.0
2017-04-11,127.46,127.67,125.51,126.15,902425,0.0
2017-04-12,125.8,127.28,124.9103,125.17,981004,0.0
2017-04-16,125.74,127.46,125.74,127.33,854068,0.0
2017-04-17,126.78,127.81,125.97,127.36,1352841,0.0
2017-04-18,133.92,136.4,132.5,136.13,4841149,0.0
2017-04-19,137,139.71,136.41,139.37,2509401,0.0
2017-04-20,139.15,140.2274,137.55,139.97,2445848,0.0
2017-04-23,142.58,142.88,141.13,142.51,1387458,0.0
2017-04-24,143.71,145.96,142.51,145.77,1539987,0.0
2017-04-25,145.76,146.11,144,145.52,1355338,0.0
2017-04-26,146.28,148,146.1,147.01,1223330,0.0
2017-04-27,146.31,147.16,144.54,144.85,1387718,0.0
2017-04-30,145.93,149.34,145.72,149.22,1512212,0.0
2017-05-01,149.8,149.99,147.67,149.31,1456301,0.0
2017-05-02,149.52,150.3,148.52,150.07,1441946,0.0
2017-05-03,149.93,150.66,148.92,150.61,1075316,0.0
2017-05-04,150.96,151,148.42,150.31,1174322,0.0
2017-05-07,150.03,150.785,148.99,149.125,1013692,0.0
2017-05-08,149.51,150.75,149.43,150.53,1124855,0.0
2017-05-09,151.13,151.5,149.09,149.14,1330701,0.0
2017-05-10,148.89,150.12,147.94,149.92,1192079,0.0
2017-05-11,149.71,150.13,148.08,149.59,1157773,0.0
2017-05-14,150.2,151.68,149.96,151.28,1074341,0.0
2017-05-15,151.87,152.57,150.54,152.56,1386373,0.0
2017-05-16,150.84,151,147.26,147.27,1632639,0.0
2017-05-17,146.68,150.12,145.13,149.81,1891594,0.0
2017-05-18,151.56,153.1,150.64,152.32,1912863,0.0
2017-05-21,152.75,153.375,151.15,152.91,1179260,0.0
2017-05-22,153.33,154.09,151.19,153.43,1112752,0.0
2017-05-23,154.05,154.2608,152.29,152.88,974285,0.0
2017-05-24,153.68,154.37,152.54,153.91,1419999,0.0
2017-05-25,153.49,155.44,153.091,155.12,1025581,0.0
2017-05-29,155.45,157.77,155,156.89,1269294,0.0
2017-05-30,157.04,157.49,154.72,155.16,1496653,0.0
2017-05-31,155.35,156.53,154.95,156.42,1012279,0.0
2017-06-01,157.15,158.8299,157.01,158.73,1180112,0.0
2017-06-04,158.89,160.4975,158.07,160.29,1294343,0.0
2017-06-05,160.24,164.124,159.68,161.02,1615209,0.0
2017-06-06,162.06,162.69,160.985,162.28,1173248,0.0
2017-06-07,163.44,164.99,162.47,164.97,1353407,0.0
2017-06-08,165.35,167.05,154.38,157.79,2754719,0.0
2017-06-11,155.51,155.86,148.75,154.5,4300643,0.0
2017-06-12,156.66,157.905,152.9,155.13,2015316,0.0
2017-06-13,155.35,155.96,150.41,152.8,2022360,0.0
2017-06-14,149.59,150.7564,147.6,148.48,3282235,0.0
2017-06-15,148.83,150.97,147.66,148.21,2509520,0.0
2017-06-18,150.19,151.95,149.9,150.99,2126676,0.0
2017-06-19,151.5,152.94,149.525,150.11,1640741,0.0
2017-06-20,150.31,151.25,149.15,150.92,1306333,0.0
2017-06-21,151.32,152.415,149.52,150.04,1042211,0.0
2017-06-22,149.81,152.82,149.5228,151.78,1595851,0.0
2017-06-25,152.46,153.61,148.36,149.01,1874926,0.0
2017-06-26,148.26,148.57,144.44,144.6208,2330975,0.0
2017-06-27,145.17,148.17,142.8,147.83,2061207,0.0
2017-06-28,146.08,146.499,140.01,142.37,2149705,0.0
2017-06-29,143.37,143.57,140.83,141.42,2005198,0.0
2017-07-02,142.71,143.38,139.24,139.28,1101692,0.0
2017-07-04,140.42,142.7,139.94,142.53,1779288,0.0
2017-07-05,141.18,144.72,140.67,143.9,1854435,0.0
2017-07-06,147,149.68,146.4367,148.14,1916321,0.0
2017-07-09,148.73,151.005,147.86,150.84,1563068,0.0
2017-07-10,151.38,154.82,151.01,153.76,2009070,0.0
2017-07-11,155.41,156.35,152.92,154.58,1200928,0.0
2017-07-12,155.05,156.31,154.16,154.94,896725,0.0
2017-07-13,155.69,157.61,154.96,157.29,953690,0.0
2017-07-16,157.78,158.31,155.75,157,1259324,0.0
2017-07-17,157,159.5876,156.2369,159.34,1036834,0.0
2017-07-18,160.5,164.545,160.245,164.21,1914464,0.0
2017-07-19,164.98,165.12,161.82,164.83,1490948,0.0
2017-07-20,164.14,164.16,162.29,163.51,1409437,0.0
2017-07-23,163.5,164.68,163.27,164.26,913848,0.0
2017-07-24,164.08,164.82,162.475,164.47,1546084,0.0
2017-07-25,165.4,168.44,165.22,168.43,2319582,0.0
2017-07-26,169.1,170,161.271,164.76,4293625,0.0
2017-07-27,164.25,164.969,160.7841,161.59,1854517,0.0
2017-07-30,162.6,163,158.79,159.46,1578493,0.0
2017-07-31,160.27,160.49,157.17,157.44,1946779,0.0
2017-08-01,158.97,158.98,149.77,151.54,3757247,0.0
2017-08-02,149.5,151.49,148.26,148.91,2273336,0.0
2017-08-03,149.35,152.26,148.36,150.06,1655304,0.0
2017-08-06,150.45,155.9,150.035,155.85,1873022,0.0
2017-08-07,155.85,157.86,154.05,155.73,1674371,0.0
2017-08-08,155.46,156.36,153.37,155.19,1251593,0.0
2017-08-09,153.86,154.19,149.04,149.43,1739474,0.0
2017-08-10,149.85,154.43,149.82,154.25,1294115,0.0
2017-08-13,156.6,158.92,156.21,158.54,1452862,0.0
2017-08-14,158.59,160.609,157.77,160.21,1176050,0.0
2017-08-15,161.45,165.19,160.6401,163.21,4269855,0.0
2017-08-16,162.5,163.57,158.3,158.45,1405344,0.0
2017-08-17,160.2,161.87,158.35,160.49,1373009,0.0
2017-08-20,161.12,161.46,157.0201,158.39,1129924,0.0
2017-08-21,159.21,164.17,159.21,163.83,1562393,0.0
2017-08-22,163.14,163.97,160.74,161.68,1271673,0.0
2017-08-23,162.21,162.8,158.09,158.85,1042980,0.0
2017-08-24,159.3,159.97,156.5214,157.87,888125,0.0
2017-08-27,158.33,161.04,157.735,160.69,881689,0.0
2017-08-28,158.62,162.84,158.1,162.35,834077,0.0
2017-08-29,162.43,165,161.77,164.96,1106973,0.0
2017-08-30,165.62,167.32,165.184,165.98,1151903,0.0
2017-08-31,166.02,169.15,165.4364,166.8,1148185,0.0
2017-09-04,165.69,166.4,162.52,164.09,1010802,0.0
2017-09-05,165.25,165.85,163.04,164.98,969927,0.0
2017-09-06,165.33,168.7,164.84,168.59,924746,0.0
2017-09-07,167.74,168.7,165.3,165.84,923298,0.0
2017-09-10,167.51,170.65,167.41,169.95,1008709,0.0
2017-09-11,170.39,172.56,168.93,171.68,1033008,0.0
2017-09-12,172.29,172.49,169.88,171.53,795490,0.0
2017-09-13,170.84,174.37,170.29,172.57,1110788,0.0
2017-09-14,172.61,174.13,171.85,173.06,1772202,0.0
2017-09-17,174.41,178.18,173.95,177.28,1644608,0.0
2017-09-18,177.57,178.03,176,177.09,1475414,0.0
2017-09-19,177.41,177.64,170.4,172.99,1583535,0.0
2017-09-20,173.17,173.5445,170.13,172.31,1209669,0.0
2017-09-21,171.71,176.96,171.4,176.72,1216774,0.0
2017-09-24,176,176,170,170.18,1559594,0.0
2017-09-25,172.32,172.66,167.52,169.44,1742302,0.0
2017-09-26,175.1,180.625,173.055,179.38,2384704,0.0
2017-09-27,178.59,182.0789,177.69,181.87,1476588,0.0
2017-09-28,182.9,185.23,181.42,184.96,1241033,0.0
2017-10-01,185.04,187.57,183.4457,185.93,1397955,0.0
2017-10-02,186.46,186.7,182.8184,184.88,1050062,0.0
2017-10-03,183.97,185.27,182.1,185.02,995517,0.0
2017-10-04,185.27,185.569,180.792,182.81,1110545,0.0
2017-10-05,182.58,185.03,182.36,184.77,679812,0.0
2017-10-08,184.92,185.95,183.73,184.65,844622,0.0
2017-10-09,186.13,186.35,181.95,184.91,920983,0.0
2017-10-10,184.22,186.21,183.95,186.18,998162,0.0
2017-10-11,186.11,189.11,186.11,186.99,1550407,0.0
2017-10-12,188.64,190.305,187.52,189.9,1154235,0.0
2017-10-15,191,193.85,190.34,192.35,1782957,0.0
2017-10-16,195.01,195.49,191.9,194.62,2754914,0.0
2017-10-17,197.08,200.9108,193.12,200.49,4387955,0.0
2017-10-18,198.39,201,194.93,200.98,2430283,0.0
2017-10-19,202.42,206.34,202.42,205.34,2219438,0.0
2017-10-22,206.22,208.41,204.05,205.91,2052598,0.0
2017-10-23,206.67,206.76,203.2701,205.85,1412921,0.0
2017-10-24,205.8,205.8,199,203.1,1818955,0.0
2017-10-25,204.7,208.65,204.28,206.75,1426032,0.0
2017-10-26,207.9,208.4,204.5,207.99,1466188,0.0
2017-10-29,206.8,208.2,204.5,206.2,936182,0.0
2017-10-30,207.33,210.09,206.52,208.57,1152454,0.0
2017-10-31,210.45,210.45,200.5438,202.93,2048205,0.0
2017-11-01,203,207.02,201.51,206.83,1671785,0.0
2017-11-02,207.2,207.95,205.02,207.06,1246981,0.0
2017-11-05,207.57,207.87,204.4,206.66,1154298,0.0
2017-11-06,206.58,209.85,206.5,209.18,907561,0.0
2017-11-07,209.2,211.41,206.88,211.24,904883,0.0
2017-11-08,209.38,209.83,203.25,206.28,1501468,0.0
2017-11-09,205.86,207.65,204.5601,207.39,1070073,0.0
2017-11-12,205.37,209.37,204.56,209.19,888235,0.0
2017-11-13,208.76,209.4,206.55,208.64,644957,0.0
2017-11-14,210,210.85,206.05,207.859,1587311,0.0
2017-11-15,208.51,214.72,208.5001,213.2,1574898,0.0
2017-11-16,216.87,217,209.55,210.47,1359691,0.0
2017-11-19,211.72,216.21,211.55,215.1,1330329,0.0
2017-11-20,217.15,219.7,216.54,218.88,1452598,0.0
2017-11-21,219.2,219.5,214.24,215.17,1355610,0.0
2017-11-23,216.1,217.52,215.63,216.85,532160,0.0
2017-11-26,212.57,213.46,208,210.95,2072132,0.0
2017-11-27,211.63,215.39,209.73,213.16,1688886,0.0
2017-11-28,211.65,211.71,189.2601,194.64,6293905,0.0
2017-11-29,197.41,198.7336,191.31,192.24,3775094,0.0
2017-11-30,190,191.27,180.69,187.79,4464636,0.0
2017-12-03,189.69,189.84,179.5,180.73,4060211,0.0
2017-12-04,180.06,186.77,175.8,180.53,3906414,0.0
2017-12-05,179.24,184.32,177.5,184.23,2925723,0.0
2017-12-06,187.09,190.12,185.77,189.16,2454865,0.0
2017-12-07,191.25,193,186.03,186.49,2420676,0.0
2017-12-10,187.72,188.2,184,185.56,2018922,0.0
2017-12-11,184.5,185.37,181.14,181.6,1623213,0.0
2017-12-12,181.75,184.8222,181.28,181.4,2058917,0.0
2017-12-13,181.3,184.43,180.99,182.24,1829335,0.0
2017-12-14,183.29,187.455,181.81,186.48,2197785,0.0
2017-12-17,187.65,190.81,186.7,189.24,2177316,0.0
2017-12-18,188.13,189.42,185.65,186.19,1338649,0.0
2017-12-19,190.89,191.84,187.3,188.79,2304175,0.0
2017-12-20,188.79,189.15,184.75,185.64,1995729,0.0
2017-12-21,185.25,187.99,184.1,186.7,1089350,0.0
2017-12-25,184.26,185,182.31,184.34,1246231,0.0
2017-12-26,184.78,187.03,184,185.35,1093438,0.0
2017-12-27,185.94,187,184.9,185.52,841322,0.0
2017-12-28,185.58,186.72,184.02,184.12,979081,0.0
2018-01-01,185.25,189.52,183.87,189.26,1428040,0.0
2018-01-02,190.68,193.82,189.62,192.41,1898240,0.0
